 web                                                                                                                                         ;0
 <a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>                                                          ;5
 <a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>                                                        ;5
 <a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>                                                         ;1
 <a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>                                                                             ;1
 <a href="http://twitter.com/tweetbutton" rel="nofollow">Tweet Button</a>                                                                    ;4
 <a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>                                                         ;5
 web                                                                                                                                         ;0
 <a href="http://www.facebook.com/twitter" rel="nofollow">Facebook</a>                                                                       ;4
 <a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>                                                           ;5
 <a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>                                                                             ;2
 <a href="http://instagram.com" rel="nofollow">Instagram</a>                                                                                 ;4
 <a href="http://itunes.apple.com/us/app/twitter/id409789998?mt=12" rel="nofollow">Twitter for Mac</a>                                       ;0
 <a href="http://bufferapp.com" rel="nofollow">Buffer</a>                                                                                    ;1
 <a href="http://unfollowers.com" rel="nofollow">Unfollowers.me</a>                                                                          ;2
 <a href="http://tapbots.com/tweetbot" rel="nofollow">Tweetbot for iOS</a>                                                                   ;1
 <a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M2)</a>                                                                     ;5
 <a href="http://www.echofon.com/" rel="nofollow">Echofon</a>                                                                                ;1
 <a href="http://tweetadder.com" rel="nofollow">TweetAdder v4</a>                                                                            ;2
 <a href="http://www.apple.com" rel="nofollow">iOS</a>                                                                                       ;5
 <a href="http://www.tweetcaster.com" rel="nofollow">TweetCaster for Android</a>                                                             ;5
 <a href="https://twitter.com/download/android" rel="nofollow">Twitter for  Android</a>                                                      ;5
 <a href="http://www.linkedin.com/" rel="nofollow">LinkedIn</a>                                                                              ;4
 <a href="http://paper.li" rel="nofollow">Paper.li</a>                                                                                       ;4
 <a href="http://dlvr.it" rel="nofollow">dlvr.it</a>                                                                                         ;4
 <a href="http://foursquare.com" rel="nofollow">foursquare</a>                                                                               ;4
 <a href="http://www.justunfollow.com" rel="nofollow">JustUnfollow</a>                                                                       ;2
 <a href="http://www.google.com/" rel="nofollow">Google</a>                                                                                  ;4
 <a href="http://sproutsocial.com" rel="nofollow">Sprout Social</a>                                                                          ;1
 <a href="http://ubersocial.com" rel="nofollow">UberSocial for BlackBerry</a>                                                                ;5
 <a href="https://mobile.twitter.com" rel="nofollow">Mobile Web (M5)</a>                                                                     ;5
 <a href="http://www.tumblr.com/" rel="nofollow">Tumblr</a>                                                                                  ;4
 <a href="http://www.twitter.com" rel="nofollow">Twitter for Windows Phone</a>                                                               ;5
 <a href="http://ifttt.com" rel="nofollow">IFTTT</a>                                                                                         ;4
 <a href="http://www.writelonger.com" rel="nofollow">Write Longer</a>                                                                        ;1
 <a href="http://www.socialoomph.com" rel="nofollow">SocialOomph</a>                                                                         ;2
 <a href="https://path.com/" rel="nofollow">Path</a>                                                                                         ;4
 <a href="http://www.flipboard.com" rel="nofollow">Flipboard</a>                                                                             ;4
 <a href="http://publicize.wp.com/" rel="nofollow">WordPress.com</a>                                                                         ;4
 <a href="http://www.twitter.com" rel="nofollow">Twitter for BlackBerry</a>                                                                  ;5
 <a href="http://ask.fm/" rel="nofollow">Ask.fm</a>                                                                                          ;4
 <a href="http://twitter.com/devices" rel="nofollow">txt</a>                                                                                 ;0
 <a href="http://www.myplume.com/" rel="nofollow">Plume for Android</a>                                                                    ;4
 <a href="http://www.twittascope.com" rel="nofollow">Twittascope</a>                                                                         ;4
 <a href="http://fllwrs.com" rel="nofollow">fllwrs</a>                                                                                       ;2
 <a href="http://pinterest.com" rel="nofollow">Pinterest</a>                                                                                 ;4
 <a href="http://mobile.twitter.com" rel="nofollow">Mobile Web</a>                                                                           ;5
 <a href="http://www.ajaymatharu.com/" rel="nofollow">Tweet Old Post</a>                                                                     ;1
 <a href="http://seesmic.com/" rel="nofollow">Seesmic</a>                                                                                    ;1
 <a href="http://www.sharedby.co" rel="nofollow">SharedBy</a>                                                                                ;4
 <a href="http://ubersocial.com" rel="nofollow">UberSocial for Android</a>                                                                   ;5
 <a href="http://gremln.com" rel="nofollow">Gremln</a>                                                                                       ;1
 <a href="http://vine.co" rel="nofollow">Vine - Make a Scene</a>                                                                             ;4
 <a href="http://www.apple.com" rel="nofollow">Photos on iOS</a>                                                                             ;5
 <a href="http://www.handmark.com" rel="nofollow">TweetCaster for iOS</a>                                                                    ;5
 <a href="http://twicca.r246.jp/" rel="nofollow">twicca</a>                                                                                  ;4
 <a href="http://winthecustomer.com/" rel="nofollow">Win the Customer</a>                                                                    ;4
 <a href="https://roundteam.co" rel="nofollow">RoundTeam</a>                                                                                 ;3
 <a href="http://www.grabinbox.com" rel="nofollow">GrabInbox</a>                                                                             ;1
 <a href="http://manageflitter.com" rel="nofollow">ManageFlitter</a>                                                                         ;1
 <a href="http://twiterous.com" rel="nofollow">Twiterous</a>                                                                                 ;5
 <a href="http://twuffer.com" rel="nofollow">Twuffer</a>                                                                                     ;3
 <a href="http://store.ovi.com/content/256340" rel="nofollow">Twitter for Nokia S40</a>                                                      ;5
 <a href="http://www.WindowsPhone.com/" rel="nofollow">Windows Phone</a>                                                                     ;5
 <a href="http://www.networkedblogs.com/" rel="nofollow">NetworkedBlogs</a>                                                                  ;4
 <a href="http://www.twitter.com" rel="nofollow">Twitter for Windows</a>                                                                     ;0
 <a href="http://twitpic.com" rel="nofollow">Twitpic</a>                                                                                     ;4
 <a href="http://www.echofon.com" rel="nofollow">Echofon  Android</a>                                                                        ;5
 <a href="http://twitter.com" rel="nofollow">Twitter</a>                                                                                     ;0
 <a href="http://stone.com/Twittelator" rel="nofollow">Twittelator</a>                                                                       ;1
 <a href="http://pluggio.com" rel="nofollow">Pluggio</a>                                                                                     ;2
 <a href="http://linkis.com" rel="nofollow">Linkis.com</a>                                                                                   ;4
 <a href="http://tweetlogix.com" rel="nofollow">Tweetlogix</a>                                                                               ;5
 <a href="http://m.ubersocial.com" rel="nofollow">UberSocial Mobile</a>                                                                      ;5
 <a href="http://www.reverbnation.com/" rel="nofollow">ReverbNation</a>                                                                      ;4
 <a href="http://tvtag.com" rel="nofollow">tvtag.com</a>                                                                                     ;7
 <a href="http://www.htc.com" rel="nofollow">  HTC Peep</a>                                                                                  ;5
 <a href="http://ubersocial.com" rel="nofollow">UberSocial for iPhone</a>                                                                    ;5
 <a href="http://weheartit.com" rel="nofollow">weheartit.com</a>                                                                             ;4
 <a href="http://www.samsungmobile.com" rel="nofollow">Samsung Mobile</a>                                                                    ;5
 <a href="http://soundcloud.com" rel="nofollow">SoundCloud</a>                                                                               ;4
 <a href="http://tweedleapp.com/" rel="nofollow"> Tweedle</a>                                                                                ;1
 <a href="http://www.unfollowspy.com" rel="nofollow">UnFollowSpy</a>                                                                         ;2
 <a href="http://www.botize.com" rel="nofollow">Botize</a>                                                                                   ;3
 <a href="http://twitmania.com" rel="nofollow">TwitMania™</a>                                                                              ;5
 <a href="http://www.leavingworkbehind.com" rel="nofollow">Evergreen Post Tweeter</a>                                                        ;4
 <a href="http://getfalcon.pro" rel="nofollow">Falcon-Pro</a>                                                                                ;4
 <a href="https://vine.co" rel="nofollow">Vine for Android</a>                                                                               ;4
 <a href="http://messaging.nokia.com/" rel="nofollow">Social by Nokia</a>                                                                    ;5
 <a href="http://twitter.com/#!/download/iphone" rel="nofollow">Тwittеr for iPhоnе</a>                                                   ;5
 <a href="http://www.DynamicTweets.com" rel="nofollow">Dynamic Tweets</a>                                                                    ;3
 <a href="http://www.echofon.com" rel="nofollow">Echofon for Android PRO</a>                                                                 ;5
 <a href="http://ultwimate.com" rel="nofollow">Ultwimate App</a>                                                                             ;5
 <a href="http://www.youversion.com" rel="nofollow">Bible</a>                                                                                ;4
 <a href="http://ubersocial.com" rel="nofollow">UberSocial© PRO</a>                                                                         ;1
 <a href="http://www.GroupTweet.com" rel="nofollow">GroupTweet</a>                                                                           ;3
 <a href="http://notfollow.me/" rel="nofollow">NotFollow.me</a>                                                                              ;2
 <a href="http://traffup.net" rel="nofollow">TraffUP</a>                                                                                     ;0
 <a href="http://citcuit.in" rel="nofollow">CitCuit</a>                                                                                      ;0
 <a href="http://www.tuitutil.net" rel="nofollow">Tuit Útil</a>                                                                             ;0
 <a href="http://twitcam.livestream.com" rel="nofollow">Livestream Twitcam</a>                                                               ;0
 <a href="http://twittanic.com" rel="nofollow">TwittanicDeck©</a>                                                                           ;0
 <a href="http://janetter.net/" rel="nofollow">Janetter for Android</a>                                                                      ;0
 <a href="http://m.dabr.co.uk" rel="nofollow">Dabr</a>                                                                                       ;0
 <a href="http://klinkerapps.com" rel="nofollow">Talon for Android</a>                                                                       ;0
 <a href="http://mobile.ubersocial.com/sherlockholmes2" rel="nofollow">Sherlock Holmes 2 for BlackBerry</a>                                  ;0
 <a href="http://www.snaptu.com" rel="nofollow">Snaptu</a>                                                                                   ;0
 <a href="http://www.echofon.com" rel="nofollow">Eсhofon </a>                                                                               ;0
 <a href="http://autotuits.com" rel="nofollow">autotuits</a>                                                                                 ;0
 <a href="http://dickson-apps.blogspot.com/" rel="nofollow">Tweetian for Symbian</a>                                                         ;0
 <a href="http://www.vladtv.com/" rel="nofollow">VladTV Content Feeder</a>                                                                   ;0
 <a href="http://www.tweetsmartphones.com" rel="nofollow">TweetStream™</a>                                                                 ;0
 <a href="http://www.towerheist.net/" rel="nofollow">Tower Heist Takeover, BlackBerry</a>                                                    ;0
 <a href="http://es.notfollow.me/" rel="nofollow">NotFollow.me en Español</a>                                                               ;0
 <a href="http://tweetdiary.me" rel="nofollow">Tweet.Diary</a>                                                                               ;0
 <a href="http://aplus-app.com" rel="nofollow">A.plus for BlackBerry</a>                                                                     ;0
 <a href="http://www.bbm.com" rel="nofollow">BBM Final Release</a>                                                                           ;0
 <a href="http://www.playstation.com/" rel="nofollow">PlayStation®Vita</a>                                                                  ;0
 <a href="http://pha22.net/twitterbot/" rel="nofollow">EasyBotter</a>                                                                        ;0
 <a href="http://beasiswaindo.com" rel="nofollow">Beasiswa Indonesia</a>                                                                     ;0
 <a href="http://manta.bz" rel="nofollow">Manta.bz</a>                                                                                       ;0
 <a href="http://blackberry.com/twitter" rel="nofollow">Twittеr for BlаckBerry®</a>                                                       ;0
 <a href="http://Eaakk.Com" rel="nofollow">Eaakk.com</a>                                                                                     ;0
 <a href="http://nullreferrer.com/?r=http://addmefast.com" rel="nofollow">AddMeFast.com Tw apps</a>                                          ;0
 <a href="http://www.polyvore.com" rel="nofollow">Polyvore</a>                                                                               ;0
 <a href="http://www.lg.com" rel="nofollow">LG Phone</a>                                                                                     ;0
 <a href="http://www.nimbuzz.com" rel="nofollow">Nimbuzz Mobile</a>                                                                          ;0
 <a href="http://www.listia.com" rel="nofollow">Listia</a>                                                                                   ;0
 <a href="http://nullreferrer.com/?r=http://addmefast.com" rel="nofollow">AddMeFast.com Tw app</a>                                           ;0
 <a href="http://www.makeatweet.com" rel="nofollow">Make a Tweet</a>                                                                         ;0
 <a href="http://www.writelonger.com" rel="nofollow">Write Longer Mobile</a>                                                                 ;0
 <a href="http://m.ubersocial.com" rel="nofollow">UberSociaI Mobile</a>                                                                      ;0
 <a href="http://worldmostexpensivecars.info" rel="nofollow">Car Wallpaper Blog</a>                                                          ;0
 <a href="http://www.socialclerks.com" rel="nofollow">SocialClerks Website</a>                                                               ;0
 <a href="https://tweetcaster.com/‎" rel="nofollow">followerupreal</a>                                                                     ;0
 <a href="http://ubersocial.com" rel="nofollow">UberSociаl for Android</a>                                                                  ;0
 <a href="http://ssh01.gast.it.uc3m.es/~pperez/login" rel="nofollow">tweetdecke</a>                                                          ;0
 <a href="http://www.Gharedly.com" rel="nofollow">GharedlyCom</a>                                                                            ;0
 <a href="http://twitter.com/#!/download/ipad" rel="nofollow">Тwitter fоr iРаd </a>                                                      ;0
 <a href="http://getscopeapp.com" rel="nofollow">Scope App</a>                                                                               ;0
 <a href="http://www.coast2coastmixtapes.com" rel="nofollow">Coast 2 Coast Mixtapes</a>                                                      ;0
 <a href="http://www.quartzprojects.co.uk" rel="nofollow">The Qube</a>                                                                       ;0
 <a href="http://www.cheatgame4u.com/2012/02/menyadap-sms-teman-trik-cara-menyadap.html" rel="nofollow">Aplikasi Penyadap SMS Pacar</a>      ;0
 <a href="http://nullrefer.com/?http://addmefast.com" rel="nofollow">AMF Twittter ffollows</a>                                               ;0
 <a href="http://lowongankerjapns.com" rel="nofollow">Lowongan Kerja ID</a>                                                                  ;0
 <a href="http://www.xstrologyscopes.com" rel="nofollow">Xstrologyscopes </a>                                                                ;0
 <a href="http://palingcanggih.blogspot.com/2013/11/trik-cara-menyadap-sms-teman-atau-pacar.html" rel="nofollow">Apps Penyadap SMS Pacar</a> ;0
 <a href="http://www.sneakerwatch.com/" rel="nofollow">Sneaker Watch App</a>                                                                 ;0
 <a href="http://m.binu.com/a/twitter" rel="nofollow">biNu</a>                                                                               ;0
 <a href="http://www.twitefon.com" rel="nofollow">Twitefon</a>                                                                               ;0
 <a href="https://play.google.com/store/apps/details?id=com.naturalmotion.csrracing" rel="nofollow">CSR Racing</a>                           ;0
 <a href="http://jkt48.com" rel="nofollow">JKT48  -  Koisuru Fortune Cookie</a>                                                              ;0
 <a href="http://twirobo.com/" rel="nofollow">twiroboJP</a>                                                                                  ;0
 <a href="http://ubersocial.com/" rel="nofollow">UberSocial for BlackBeгry</a>                                                              ;0
 <a href="http://anony.ms" rel="nofollow">4Chan Anon</a>                                                                                     ;0
 <a href="http://PoeticPhrenzy.com" rel="nofollow">Poetic Platform</a>                                                                       ;0
 <a href="http://azureserver.ru/" rel="nofollow">Farm23</a>                                                                                  ;0
 <a href="http://google.com" rel="nofollow">0xSegfault</a>                                                                                   ;0
 <a href="http://slizzerd.ly" rel="nofollow">getslizzerd</a>                                                                                 ;0
 <a href="http://tpfs357.blogspot.com/2010/08/what-is-i2daygb-issue-today-global.html" rel="nofollow">IssueTracker</a>                       ;0
 <a href="http://trendsmap.com/" rel="nofollow">Trendsmap Alerting</a>                                                                       ;0
 <a href="http://wakaflockafliz.com" rel="nofollow">WakaFlockaFliz</a>                                                                       ;0
 <a href="http://www.melhortv.com.br" rel="nofollow">TeSigoBot</a>                                                                           ;0
 <a href="http://blog.mlvezie.org" rel="nofollow">twitscript</a>                                                                             ;0
 <a href="http://chat.freenode.net/" rel="nofollow">freenodeirc</a>                                                                          ;0
 <a href="http://chochotdog.com" rel="nofollow">ChocHotDoggie App</a>                                                                        ;0
 <a href="http://lightbulb.com" rel="nofollow">Cool Content Companion</a>                                                                    ;0
 <a href="http://www.pagesuites.com" rel="nofollow">Pagesuites</a>                                                                           ;0
 <a href="http://initech.com" rel="nofollow">Initech</a>                                                                                     ;0
 <a href="http://google.com" rel="nofollow">supdawgiherd</a>                                                                                 ;0
 <a href="http://google.com" rel="nofollow">HatianMiner</a>                                                                                  ;0
 <a href="http://google.com" rel="nofollow">FairwindsHawaii2</a>                                                                             ;0
 <a href="http://www.twitter.com/CarregaBenfica" rel="nofollow">CarregaBenfica</a>                                                           ;0
